;Australia;Austria;Belgium;Canada;France;Germany;Italy;Japan;Korea;Mexico;Netherlands;Norway;Spain;Sweden;Switzerland;United Kingdom;United States
Q1-1961;0.3;2.8;1.2;..;1.6;1;3.6;3;3.2;1;0.3;2.1;2.9;1.9;3.4;1.6;0.7
Q2-1961;-1.1;-0.3;1.2;2.5;1.6;-0.5;2.1;2.1;4.3;1;-1.4;1.6;4.4;0.4;1.4;0.4;1.7
Q3-1961;-0.7;1.3;1.3;2.4;1.6;2.1;2.3;1.9;-1.8;1;0.1;1.2;2;1.4;1.2;-0.5;1.9
Q4-1961;1.1;0.2;1.4;1.4;1.7;0.5;1.9;4.6;1.3;1.1;1.6;0.7;2.8;0.5;2;-0.2;2
Q1-1962;2.8;1.5;1.3;2.7;1.8;1.5;1.5;1.3;2;1;2.7;0.3;2.4;0.3;0.6;0.4;1.8
Q2-1962;1.9;0;1.3;0.7;1.6;1;1.1;1.4;-1.9;1;2.1;0.5;2.3;1.8;1.2;1;0.9
Q3-1962;0.8;0.8;1.1;1.3;1.4;2.4;0.6;1.2;2.9;1.4;3.1;0.7;2.4;2.4;1.4;0.6;1.2
Q4-1962;1.8;0.1;0.9;2;1.3;-0.2;1.5;2.1;2.9;1.8;-0.3;0.8;0.3;0.8;0.6;-0.4;0.3
Q1-1963;2.3;0.4;0.9;0.6;-1.7;-3.5;0.7;1.4;5.9;1.8;-6.3;1;5.8;-1;-0.9;0.5;1.1
Q2-1963;-1.3;2.9;0.9;1.5;4.5;4.5;2.7;2.9;-2.4;1.7;8.9;1.1;0.1;3.8;3.8;4.3;1.1
Q3-1963;4.1;1.1;1.4;0.8;3.3;3.5;1.6;2.9;3.3;2.4;2.4;1.1;2.2;1.9;2.2;0.5;2.2
Q4-1963;2.1;2;2;3.1;0.3;0.5;1;3.4;0.1;3;2.1;1.2;1.9;0.9;1.1;2.3;0.7
Q1-1964;-0.2;1;2;2.5;1.9;1.4;1.5;3.2;6;2.9;1.3;1.2;0.6;2.5;0.1;0.6;2.1
Q2-1964;2.5;1.4;1.9;0.4;1;1.2;-1;2.4;-2.9;2.8;0.9;1.3;1.6;0.5;3.5;1.8;1.1
